key,code,moment,durationInitial,durationFinal,amount,type,email,link,key:project,key:sponsor
sponsorship-01,CDE-123,2022/02/28 17:59,2022/03/28 17:59,2022/05/28 17:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-01,sponsor-01
sponsorship-02,A-000,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-02,sponsor-02
sponsorship-03,A-999,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-03,sponsor-03
sponsorship-04,AA-000,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-04,sponsor-04
sponsorship-05,AA-999,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-05,sponsor-05
sponsorship-06,AAA-000,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-06,sponsor-06
sponsorship-07,AAA-999,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-07,sponsor-07
sponsorship-08,ABC-124,2000/01/01 00:00,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-08,sponsor-08
sponsorship-09,ABC-125,2000/01/01 00:01,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-09,sponsor-09
sponsorship-10,ABC-126,2022/07/29 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-10,sponsor-10
sponsorship-11,ABC-555,2004/02/29 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-11,sponsor-11
sponsorship-12,ABC-554,2005/12/31 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-12,sponsor-12
sponsorship-13,ABC-127,2022/02/28 23:59,2099/11/30 23:59,2099/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-13,sponsor-13
sponsorship-14,ABC-128,2022/02/28 23:59,2022/03/28 23:59,2022/12/28 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-14,sponsor-14
sponsorship-15,ABC-129,2022/02/28 23:59,2022/03/01 00:00,2022/12/28 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-15,sponsor-15
sponsorship-16,ABC-130,2022/02/28 23:59,2022/03/01 00:01,2022/12/28 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-16,sponsor-16
sponsorship-17,AAA-123,2022/02/28 23:59,2022/09/28 23:59,2022/10/28 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-17,sponsor-17
sponsorship-18,AAA-122,2022/02/28 23:59,2022/09/28 23:59,2099/12/31 23:59,EUR 1500.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-18,sponsor-18
sponsorship-19,AAA-001,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 100000000.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-19,sponsor-19
sponsorship-20,AAA-002,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 0.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-20,sponsor-19
sponsorship-21,AAA-003,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 0.01,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-21,sponsor-20
sponsorship-22,AAA-004,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,USD 100000000.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-22,sponsor-20
sponsorship-23,AAA-005,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,USD 0.00,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-23,sponsor-20
sponsorship-24,AAA-006,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,USD 0.01,Financial,alvarochicocastellano@gmail.com,https://github.com/,project-24,sponsor-21
sponsorship-25,AAA-007,2022/02/28 23:59,2022/09/28 23:59,2022/12/31 23:59,EUR 1500.00,InKind,alvarochicocastellano@gmail.com,https://github.com/,project-25,sponsor-21
