key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'Acme', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'Acme', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-manager-01,true,"UserIdentity{name: 'Jaime', surname: 'Linares', email: 'jailinbar@alum.us.es'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'John', surname: 'Doe', email: 'johndoe@alum.us.es'}",manager2,manager2
user-account-sponsor-01,true,"UserIdentity{name: 'Jane', surname: 'Doe', email: 'janedoe@alum.us.es'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Jane', surname: 'Doe', email: 'janedoe@alum.us.es'}",sponsor2,sponsor2
user-account-client-01,true,"UserIdentity{name: 'Jane', surname: 'Doe', email: 'janedoe@alum.us.es'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'Jane', surname: 'Doe', email: 'janedoe@alum.us.es'}",client2,client2
user-account-manager-03,true,"UserIdentity{name: 'Jane1', surname: 'Doe', email: 'janedoe1@alum.us.es'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'Jane2', surname: 'Doe', email: 'janedoe2@alum.us.es'}",manager4,manager4
user-account-manager-05,true,"UserIdentity{name: 'Jane3', surname: 'Doe', email: 'janedoe3@alum.us.es'}",manager5,manager5
user-account-manager-06,true,"UserIdentity{name: 'Jane4', surname: 'Doe', email: 'janedoe4@alum.us.es'}",manager6,manager6
user-account-manager-07,true,"UserIdentity{name: 'Jane5', surname: 'Doe', email: 'janedoe5@alum.us.es'}",manager7,manager7
user-account-manager-08,true,"UserIdentity{name: 'Jane6', surname: 'Doe', email: 'janedoe6@alum.us.es'}",manager8,manager8
user-account-manager-09,true,"UserIdentity{name: 'Jane7', surname: 'Doe', email: 'janedoe7@alum.us.es'}",manager9,manager9
user-account-manager-10,true,"UserIdentity{name: 'Jane8', surname: 'Doe', email: 'janedoe8@alum.us.es'}",manager10,manager10
